,Perfil,ID_Func,Idade,Atrito,Departamento,Grau Instrução,Especialidade,Satisfação Ambiente,Gênero,Envolvimento,Cargo,Satisfação Trabalho,Estado Civil,Renda,Relacionamento,Balanço Vida-Profissão,Análise Ambiente,Análise Envolvimento,Análise Trabalho,Análise Relacionamento,Análise Balanço Vida-Profissão
22,Perfil 3,22,34,Não,P & D,Mestrado,Biologia,Baixa,Feminino,Alto,Diretor_Pesquisa,Média,Solteiro,11994,Alto,Alta,Colaborador com alguma insatisfação com o ambiente,Bom envolvimento,Colaborador com alguma insatisfação no trabalho,Bom relacionamento,Vida pessoal e profissional bem equilibrada
23,Perfil 2,23,21,Não,P & D,Faculdade,Biologia,Alta,Masculino,Alto,Pesquisa_Cientifica,Muito Alta,Solteiro,1232,Muito Alto,Alta,Satisfeito com o ambiente,Bom envolvimento,Satisfeito com o trabalho,Bom relacionamento,Vida pessoal e profissional bem equilibrada
24,Perfil 6,24,34,Sim,P & D,Ensino_Mèdio,Médico,Média,Masculino,Alto,Pesquisa_Cientifica,Baixa,Solteiro,2960,Alto,Alta,Colaborador com alguma insatisfação com o ambiente,Bom envolvimento,Colaborador com alguma insatisfação no trabalho,Bom relacionamento,Vida pessoal e profissional bem equilibrada
25,Perfil 1,25,53,Não,P & D,Pos_Graduado,Outros,Alta,Feminino,Alto,Gerente,Alta,Divorciado,19094,Muito Alto,Média,Satisfeito com o ambiente,Bom envolvimento,Satisfeito com o trabalho,Bom relacionamento,Colaborador apresenta algum desequilibrio entre vida pessoal  profissional
26,Perfil 5,26,32,Sim,P & D,Ensino_Mèdio,Biologia,Média,Feminino,Baixo,Pesquisa_Cientifica,Baixa,Solteiro,3919,Médio,Alta,Colaborador com alguma insatisfação com o ambiente,Colaborador com algum problema de envolvimento,Colaborador com alguma insatisfação no trabalho,Colaborador com algum problema de relacionamento,Vida pessoal e profissional bem equilibrada
27,Perfil 6,27,42,Não,Vendas,Mestrado,Marketing,Alta,Masculino,Alto,Executivo_Vendas,Média,Casado,6825,Muito Alto,Alta,Satisfeito com o ambiente,Bom envolvimento,Colaborador com alguma insatisfação no trabalho,Bom relacionamento,Vida pessoal e profissional bem equilibrada
28,Perfil 5,28,44,Não,P & D,Mestrado,Médico,Baixa,Feminino,Médio,Repres_Saúde,Muito Alta,Casado,10248,Muito Alto,Alta,Colaborador com alguma insatisfação com o ambiente,Colaborador com algum problema de envolvimento,Satisfeito com o trabalho,Bom relacionamento,Vida pessoal e profissional bem equilibrada
29,Perfil 6,29,46,Não,Vendas,Mestrado,Marketing,Média,Feminino,Alto,Gerente,Baixa,Solteiro,18947,Muito Alto,Média,Colaborador com alguma insatisfação com o ambiente,Bom envolvimento,Colaborador com alguma insatisfação no trabalho,Bom relacionamento,Colaborador apresenta algum desequilibrio entre vida pessoal  profissional
30,Perfil 2,30,33,Não,P & D,Pos_Graduado,Médico,Alta,Masculino,Alto,Tecnico_Lab,Muito Alta,Solteiro,2496,Muito Alto,Alta,Satisfeito com o ambiente,Bom envolvimento,Satisfeito com o trabalho,Bom relacionamento,Vida pessoal e profissional bem equilibrada
31,Perfil 2,31,44,Não,P & D,Mestrado,Outros,Muito Alta,Masculino,Alto,Repres_Saúde,Muito Alta,Casado,6465,Muito Alto,Muito Alta,Satisfeito com o ambiente,Bom envolvimento,Satisfeito com o trabalho,Bom relacionamento,Vida pessoal e profissional bem equilibrada
32,Perfil 4,32,30,Não,P & D,Faculdade,Médico,Muito Alta,Masculino,Médio,Tecnico_Lab,Alta,Solteiro,2206,Baixo,Alta,Satisfeito com o ambiente,Colaborador com algum problema de envolvimento,Satisfeito com o trabalho,Colaborador com algum problema de relacionamento,Vida pessoal e profissional bem equilibrada
33,Perfil 2,33,39,Sim,Vendas,Pos_Graduado,Tech,Muito Alta,Masculino,Alto,Repres_Vendas,Muito Alta,Casado,2086,Alto,Muito Alta,Satisfeito com o ambiente,Bom envolvimento,Satisfeito com o trabalho,Bom relacionamento,Vida pessoal e profissional bem equilibrada
34,Perfil 4,34,24,Sim,P & D,Pos_Graduado,Médico,Média,Masculino,Alto,Pesquisa_Cientifica,Muito Alta,Casado,2293,Baixo,Média,Colaborador com alguma insatisfação com o ambiente,Bom envolvimento,Satisfeito com o trabalho,Colaborador com algum problema de relacionamento,Colaborador apresenta algum desequilibrio entre vida pessoal  profissional
35,Perfil 1,35,43,Não,P & D,Faculdade,Médico,Muito Alta,Feminino,Muito Alto,Pesquisa_Cientifica,Alta,Divorciado,2645,Muito Alto,Média,Satisfeito com o ambiente,Bom envolvimento,Satisfeito com o trabalho,Bom relacionamento,Colaborador apresenta algum desequilibrio entre vida pessoal  profissional
36,Perfil 5,36,50,Sim,Vendas,Faculdade,Marketing,Baixa,Masculino,Médio,Repres_Vendas,Alta,Casado,2683,Alto,Alta,Colaborador com alguma insatisfação com o ambiente,Colaborador com algum problema de envolvimento,Satisfeito com o trabalho,Bom relacionamento,Vida pessoal e profissional bem equilibrada
37,Perfil 4,37,35,Não,Vendas,Pos_Graduado,Marketing,Muito Alta,Feminino,Alto,Repres_Vendas,Muito Alta,Casado,2014,Baixo,Alta,Satisfeito com o ambiente,Bom envolvimento,Satisfeito com o trabalho,Colaborador com algum problema de relacionamento,Vida pessoal e profissional bem equilibrada
38,Perfil 6,38,36,Não,P & D,Mestrado,Biologia,Média,Feminino,Médio,Pesquisa_Cientifica,Baixa,Casado,3419,Muito Alto,Muito Alta,Colaborador com alguma insatisfação com o ambiente,Colaborador com algum problema de envolvimento,Colaborador com alguma insatisfação no trabalho,Bom relacionamento,Vida pessoal e profissional bem equilibrada
39,Perfil 4,39,33,Não,Vendas,Pos_Graduado,Biologia,Alta,Feminino,Muito Alto,Executivo_Vendas,Baixa,Casado,5376,Baixo,Alta,Satisfeito com o ambiente,Bom envolvimento,Colaborador com alguma insatisfação no trabalho,Colaborador com algum problema de relacionamento,Vida pessoal e profissional bem equilibrada
40,Perfil 2,40,35,Não,P & D,Faculdade,Outros,Alta,Masculino,Alto,Tecnico_Lab,Muito Alta,Divorciado,1951,Alto,Alta,Satisfeito com o ambiente,Bom envolvimento,Satisfeito com o trabalho,Bom relacionamento,Vida pessoal e profissional bem equilibrada
41,Perfil 6,41,27,Não,P & D,Mestrado,Biologia,Muito Alta,Feminino,Alto,Tecnico_Lab,Baixa,Divorciado,2341,Muito Alto,Alta,Satisfeito com o ambiente,Bom envolvimento,Colaborador com alguma insatisfação no trabalho,Bom relacionamento,Vida pessoal e profissional bem equilibrada
42,Perfil 5,42,26,Sim,P & D,Pos_Graduado,Biologia,Baixa,Masculino,Baixo,Tecnico_Lab,Alta,Solteiro,2293,Alto,Média,Colaborador com alguma insatisfação com o ambiente,Colaborador com algum problema de envolvimento,Satisfeito com o trabalho,Bom relacionamento,Colaborador apresenta algum desequilibrio entre vida pessoal  profissional
43,Perfil 2,43,27,Não,Vendas,Pos_Graduado,Biologia,Muito Alta,Masculino,Alto,Executivo_Vendas,Alta,Solteiro,8726,Muito Alto,Alta,Satisfeito com o ambiente,Bom envolvimento,Satisfeito com o trabalho,Bom relacionamento,Vida pessoal e profissional bem equilibrada
44,Perfil 2,44,30,Não,P & D,Faculdade,Médico,Alta,Feminino,Alto,Tecnico_Lab,Muito Alta,Solteiro,4011,Muito Alto,Alta,Satisfeito com o ambiente,Bom envolvimento,Satisfeito com o trabalho,Bom relacionamento,Vida pessoal e profissional bem equilibrada
45,Perfil 3,45,41,Sim,P & D,Pos_Graduado,Tech,Média,Feminino,Alto,Diretor_Pesquisa,Alta,Casado,19545,Muito Alto,Alta,Colaborador com alguma insatisfação com o ambiente,Bom envolvimento,Satisfeito com o trabalho,Bom relacionamento,Vida pessoal e profissional bem equilibrada
46,Perfil 3,46,34,Não,Vendas,Mestrado,Marketing,Média,Masculino,Alto,Executivo_Vendas,Alta,Solteiro,4568,Alto,Alta,Colaborador com alguma insatisfação com o ambiente,Bom envolvimento,Satisfeito com o trabalho,Bom relacionamento,Vida pessoal e profissional bem equilibrada
47,Perfil 4,47,37,Não,P & D,Faculdade,Biologia,Média,Masculino,Alto,Pesquisa_Cientifica,Média,Casado,3022,Baixo,Alta,Colaborador com alguma insatisfação com o ambiente,Bom envolvimento,Colaborador com alguma insatisfação no trabalho,Colaborador com algum problema de relacionamento,Vida pessoal e profissional bem equilibrada
48,Perfil 3,48,46,Não,Vendas,Mestrado,Marketing,Baixa,Masculino,Alto,Executivo_Vendas,Muito Alta,Solteiro,5772,Alto,Alta,Colaborador com alguma insatisfação com o ambiente,Bom envolvimento,Satisfeito com o trabalho,Bom relacionamento,Vida pessoal e profissional bem equilibrada
49,Perfil 2,49,35,Não,P & D,Ensino_Mèdio,Biologia,Muito Alta,Masculino,Muito Alto,Tecnico_Lab,Muito Alta,Casado,2269,Muito Alto,Alta,Satisfeito com o ambiente,Bom envolvimento,Satisfeito com o trabalho,Bom relacionamento,Vida pessoal e profissional bem equilibrada
50,Perfil 5,50,48,Sim,P & D,Faculdade,Biologia,Baixa,Masculino,Médio,Tecnico_Lab,Alta,Solteiro,5381,Muito Alto,Alta,Colaborador com alguma insatisfação com o ambiente,Colaborador com algum problema de envolvimento,Satisfeito com o trabalho,Bom relacionamento,Vida pessoal e profissional bem equilibrada
51,Perfil 1,51,28,Sim,P & D,Mestrado,Tech,Alta,Masculino,Alto,Tecnico_Lab,Alta,Solteiro,3441,Alto,Média,Satisfeito com o ambiente,Bom envolvimento,Satisfeito com o trabalho,Bom relacionamento,Colaborador apresenta algum desequilibrio entre vida pessoal  profissional
52,Perfil 6,52,44,Não,Vendas,Doutorado,Marketing,Média,Feminino,Alto,Executivo_Vendas,Baixa,Divorciado,5454,Alto,Média,Colaborador com alguma insatisfação com o ambiente,Bom envolvimento,Colaborador com alguma insatisfação no trabalho,Bom relacionamento,Colaborador apresenta algum desequilibrio entre vida pessoal  profissional
53,Perfil 6,53,35,Não,P & D,Faculdade,Médico,Alta,Masculino,Médio,Repres_Saúde,Baixa,Casado,9884,Alto,Alta,Satisfeito com o ambiente,Colaborador com algum problema de envolvimento,Colaborador com alguma insatisfação no trabalho,Bom relacionamento,Vida pessoal e profissional bem equilibrada
54,Perfil 5,54,26,Não,Vendas,Pos_Graduado,Marketing,Alta,Feminino,Médio,Executivo_Vendas,Muito Alta,Casado,4157,Alto,Média,Satisfeito com o ambiente,Colaborador com algum problema de envolvimento,Satisfeito com o trabalho,Bom relacionamento,Colaborador apresenta algum desequilibrio entre vida pessoal  profissional
55,Perfil 3,55,33,Não,P & D,Faculdade,Biologia,Baixa,Feminino,Alto,Diretor_Pesquisa,Muito Alta,Solteiro,13458,Alto,Alta,Colaborador com alguma insatisfação com o ambiente,Bom envolvimento,Satisfeito com o trabalho,Bom relacionamento,Vida pessoal e profissional bem equilibrada
56,Perfil 6,56,35,Não,Vendas,Doutorado,Biologia,Média,Masculino,Alto,Executivo_Vendas,Baixa,Casado,9069,Muito Alto,Média,Colaborador com alguma insatisfação com o ambiente,Bom envolvimento,Colaborador com alguma insatisfação no trabalho,Bom relacionamento,Colaborador apresenta algum desequilibrio entre vida pessoal  profissional
57,Perfil 6,57,35,Não,P & D,Mestrado,Médico,Alta,Feminino,Alto,Tecnico_Lab,Baixa,Casado,4014,Alto,Alta,Satisfeito com o ambiente,Bom envolvimento,Colaborador com alguma insatisfação no trabalho,Bom relacionamento,Vida pessoal e profissional bem equilibrada
58,Perfil 1,58,31,Não,P & D,Mestrado,Biologia,Muito Alta,Masculino,Alto,Tecnico_Lab,Muito Alta,Divorciado,5915,Muito Alto,Média,Satisfeito com o ambiente,Bom envolvimento,Satisfeito com o trabalho,Bom relacionamento,Colaborador apresenta algum desequilibrio entre vida pessoal  profissional
59,Perfil 5,59,37,Não,P & D,Mestrado,Biologia,Baixa,Masculino,Médio,Diretor_Manufatura,Alta,Divorciado,5993,Alto,Muito Alta,Colaborador com alguma insatisfação com o ambiente,Colaborador com algum problema de envolvimento,Satisfeito com o trabalho,Bom relacionamento,Vida pessoal e profissional bem equilibrada
60,Perfil 3,60,32,Não,P & D,Pos_Graduado,Médico,Baixa,Masculino,Alto,Diretor_Manufatura,Muito Alta,Casado,6162,Médio,Alta,Colaborador com alguma insatisfação com o ambiente,Bom envolvimento,Satisfeito com o trabalho,Colaborador com algum problema de relacionamento,Vida pessoal e profissional bem equilibrada
61,Perfil 2,61,38,Não,P & D,Doutorado,Biologia,Muito Alta,Feminino,Alto,Tecnico_Lab,Muito Alta,Solteiro,2406,Muito Alto,Alta,Satisfeito com o ambiente,Bom envolvimento,Satisfeito com o trabalho,Bom relacionamento,Vida pessoal e profissional bem equilibrada
62,Perfil 5,62,50,Não,P & D,Faculdade,Médico,Média,Feminino,Médio,Diretor_Pesquisa,Alta,Divorciado,18740,Muito Alto,Média,Colaborador com alguma insatisfação com o ambiente,Colaborador com algum problema de envolvimento,Satisfeito com o trabalho,Bom relacionamento,Colaborador apresenta algum desequilibrio entre vida pessoal  profissional
63,Perfil 3,63,59,Não,Vendas,Pos_Graduado,Biologia,Baixa,Feminino,Alto,Executivo_Vendas,Baixa,Solteiro,7637,Muito Alto,Média,Colaborador com alguma insatisfação com o ambiente,Bom envolvimento,Colaborador com alguma insatisfação no trabalho,Bom relacionamento,Colaborador apresenta algum desequilibrio entre vida pessoal  profissional
64,Perfil 4,64,36,Não,P & D,Pos_Graduado,Tech,Alta,Feminino,Alto,Repres_Saúde,Alta,Divorciado,10096,Médio,Alta,Satisfeito com o ambiente,Bom envolvimento,Satisfeito com o trabalho,Colaborador com algum problema de relacionamento,Vida pessoal e profissional bem equilibrada
65,Perfil 2,65,55,Não,P & D,Pos_Graduado,Médico,Muito Alta,Feminino,Alto,Gerente,Alta,Divorciado,14756,Alto,Alta,Satisfeito com o ambiente,Bom envolvimento,Satisfeito com o trabalho,Bom relacionamento,Vida pessoal e profissional bem equilibrada
66,Perfil 5,66,36,Não,P & D,Pos_Graduado,Biologia,Média,Masculino,Médio,Diretor_Manufatura,Média,Solteiro,6499,Alto,Alta,Colaborador com alguma insatisfação com o ambiente,Colaborador com algum problema de envolvimento,Colaborador com alguma insatisfação no trabalho,Bom relacionamento,Vida pessoal e profissional bem equilibrada
67,Perfil 6,67,45,Não,P & D,Pos_Graduado,Biologia,Média,Masculino,Alto,Pesquisa_Cientifica,Baixa,Divorciado,9724,Alto,Alta,Colaborador com alguma insatisfação com o ambiente,Bom envolvimento,Colaborador com alguma insatisfação no trabalho,Bom relacionamento,Vida pessoal e profissional bem equilibrada
68,Perfil 6,68,35,Não,P & D,Pos_Graduado,Médico,Média,Masculino,Alto,Pesquisa_Cientifica,Baixa,Casado,2194,Muito Alto,Média,Colaborador com alguma insatisfação com o ambiente,Bom envolvimento,Colaborador com alguma insatisfação no trabalho,Bom relacionamento,Colaborador apresenta algum desequilibrio entre vida pessoal  profissional
69,Perfil 4,69,36,Sim,P & D,Pos_Graduado,Médico,Muito Alta,Masculino,Médio,Pesquisa_Cientifica,Alta,Casado,3388,Baixo,Média,Satisfeito com o ambiente,Colaborador com algum problema de envolvimento,Satisfeito com o trabalho,Colaborador com algum problema de relacionamento,Colaborador apresenta algum desequilibrio entre vida pessoal  profissional
70,Perfil 5,70,59,Não,Vendas,Ensino_Mèdio,Biologia,Baixa,Feminino,Médio,Executivo_Vendas,Alta,Solteiro,5473,Muito Alto,Média,Colaborador com alguma insatisfação com o ambiente,Colaborador com algum problema de envolvimento,Satisfeito com o trabalho,Bom relacionamento,Colaborador apresenta algum desequilibrio entre vida pessoal  profissional
71,Perfil 6,71,29,Não,P & D,Pos_Graduado,Biologia,Alta,Masculino,Alto,Pesquisa_Cientifica,Média,Casado,2703,Muito Alto,Alta,Satisfeito com o ambiente,Bom envolvimento,Colaborador com alguma insatisfação no trabalho,Bom relacionamento,Vida pessoal e profissional bem equilibrada
72,Perfil 4,72,31,Não,P & D,Mestrado,Médico,Alta,Masculino,Alto,Pesquisa_Cientifica,Média,Solteiro,2501,Médio,Alta,Satisfeito com o ambiente,Bom envolvimento,Colaborador com alguma insatisfação no trabalho,Colaborador com algum problema de relacionamento,Vida pessoal e profissional bem equilibrada
73,Perfil 3,73,32,Não,P & D,Pos_Graduado,Biologia,Média,Masculino,Alto,Pesquisa_Cientifica,Média,Casado,6220,Médio,Alta,Colaborador com alguma insatisfação com o ambiente,Bom envolvimento,Colaborador com alguma insatisfação no trabalho,Colaborador com algum problema de relacionamento,Vida pessoal e profissional bem equilibrada
74,Perfil 3,74,36,Não,P & D,Pos_Graduado,Biologia,Média,Feminino,Muito Alto,Tecnico_Lab,Muito Alta,Casado,3038,Médio,Alta,Colaborador com alguma insatisfação com o ambiente,Bom envolvimento,Satisfeito com o trabalho,Colaborador com algum problema de relacionamento,Vida pessoal e profissional bem equilibrada
75,Perfil 2,75,31,Não,P & D,Mestrado,Biologia,Alta,Feminino,Alto,Diretor_Manufatura,Muito Alta,Solteiro,4424,Muito Alto,Alta,Satisfeito com o ambiente,Bom envolvimento,Satisfeito com o trabalho,Bom relacionamento,Vida pessoal e profissional bem equilibrada
76,Perfil 6,76,35,Não,Vendas,Mestrado,Marketing,Alta,Masculino,Médio,Executivo_Vendas,Baixa,Solteiro,4312,Médio,Alta,Satisfeito com o ambiente,Colaborador com algum problema de envolvimento,Colaborador com alguma insatisfação no trabalho,Colaborador com algum problema de relacionamento,Vida pessoal e profissional bem equilibrada
77,Perfil 6,77,45,Não,P & D,Mestrado,Outros,Muito Alta,Masculino,Alto,Diretor_Pesquisa,Baixa,Casado,13245,Médio,Muito Alta,Satisfeito com o ambiente,Bom envolvimento,Colaborador com alguma insatisfação no trabalho,Colaborador com algum problema de relacionamento,Vida pessoal e profissional bem equilibrada
78,Perfil 3,78,37,Não,P & D,Mestrado,Médico,Baixa,Masculino,Alto,Diretor_Pesquisa,Alta,Solteiro,13664,Baixo,Muito Alta,Colaborador com alguma insatisfação com o ambiente,Bom envolvimento,Satisfeito com o trabalho,Colaborador com algum problema de relacionamento,Vida pessoal e profissional bem equilibrada
79,Perfil 3,79,46,Não,RH,Faculdade,Médico,Média,Masculino,Alto,Human Resources,Média,Divorciado,5021,Muito Alto,Alta,Colaborador com alguma insatisfação com o ambiente,Bom envolvimento,Colaborador com alguma insatisfação no trabalho,Bom relacionamento,Vida pessoal e profissional bem equilibrada
80,Perfil 1,80,30,Não,P & D,Ensino_Mèdio,Biologia,Muito Alta,Masculino,Médio,Tecnico_Lab,Muito Alta,Casado,5126,Alto,Média,Satisfeito com o ambiente,Colaborador com algum problema de envolvimento,Satisfeito com o trabalho,Bom relacionamento,Colaborador apresenta algum desequilibrio entre vida pessoal  profissional
81,Perfil 4,81,35,Não,P & D,Pos_Graduado,Médico,Média,Masculino,Médio,Pesquisa_Cientifica,Alta,Solteiro,2859,Baixo,Alta,Colaborador com alguma insatisfação com o ambiente,Colaborador com algum problema de envolvimento,Satisfeito com o trabalho,Colaborador com algum problema de relacionamento,Vida pessoal e profissional bem equilibrada
82,Perfil 3,82,55,Não,Vendas,Faculdade,Biologia,Baixa,Masculino,Alto,Executivo_Vendas,Muito Alta,Casado,10239,Muito Alto,Alta,Colaborador com alguma insatisfação com o ambiente,Bom envolvimento,Satisfeito com o trabalho,Bom relacionamento,Vida pessoal e profissional bem equilibrada
83,Perfil 5,83,38,Não,P & D,Pos_Graduado,Médico,Média,Feminino,Baixo,Pesquisa_Cientifica,Muito Alta,Divorciado,5329,Muito Alto,Alta,Colaborador com alguma insatisfação com o ambiente,Colaborador com algum problema de envolvimento,Satisfeito com o trabalho,Bom relacionamento,Vida pessoal e profissional bem equilibrada
84,Perfil 3,84,34,Não,P & D,Faculdade,Médico,Baixa,Masculino,Alto,Diretor_Manufatura,Média,Casado,4325,Alto,Alta,Colaborador com alguma insatisfação com o ambiente,Bom envolvimento,Colaborador com alguma insatisfação no trabalho,Bom relacionamento,Vida pessoal e profissional bem equilibrada
85,Perfil 5,85,56,Não,P & D,Pos_Graduado,Biologia,Muito Alta,Masculino,Baixo,Diretor_Manufatura,Muito Alta,Solteiro,7260,Baixo,Média,Satisfeito com o ambiente,Colaborador com algum problema de envolvimento,Satisfeito com o trabalho,Colaborador com algum problema de relacionamento,Colaborador apresenta algum desequilibrio entre vida pessoal  profissional
86,Perfil 6,86,23,Não,Vendas,Ensino_Mèdio,Tech,Alta,Masculino,Alto,Repres_Vendas,Baixa,Divorciado,2322,Alto,Alta,Satisfeito com o ambiente,Bom envolvimento,Colaborador com alguma insatisfação no trabalho,Bom relacionamento,Vida pessoal e profissional bem equilibrada
