,ID_Func,Perfil,Idade,Atrito,Departamento,Grau Instrução,Especialidade,Satisfação Ambiente,Gênero,Envolvimento,Cargo,Satisfação Trabalho,Estado Civil,Renda,Relacionamento,Balanço Vida-Profissão,Análise para RH
13,13,Perfil 3,34,Não,P & D,Faculdade,Médico,Média,Masculino,Alto,Tecnico_Lab,Muito Alta,Divorciado,2661,Alto,Alta,Colaboradores muito bem comprometidos com a empresa
14,14,Perfil 2,28,Sim,P & D,Pos_Graduado,Biologia,Alta,Masculino,Médio,Tecnico_Lab,Alta,Solteiro,2028,Médio,Alta,Colaboradores insatisfeitos com o ambiente e baixo relacionamento
15,15,Perfil 1,29,Não,P & D,Mestrado,Biologia,Média,Feminino,Muito Alto,Diretor_Manufatura,Baixa,Divorciado,9980,Alto,Alta,Colaboradores com baixa satisfação com o trabalho
16,16,Perfil 1,32,Não,P & D,Faculdade,Biologia,Baixa,Masculino,Muito Alto,Pesquisa_Cientifica,Média,Divorciado,3298,Muito Alto,Média,Colaboradores com baixa satisfação com o trabalho
17,17,Perfil 3,22,Não,P & D,Faculdade,Médico,Muito Alta,Masculino,Muito Alto,Tecnico_Lab,Muito Alta,Divorciado,2935,Médio,Média,Colaboradores muito bem comprometidos com a empresa
18,18,Perfil 2,53,Não,Vendas,Mestrado,Biologia,Baixa,Feminino,Médio,Gerente,Muito Alta,Casado,15427,Alto,Alta,Colaboradores insatisfeitos com o ambiente e baixo relacionamento
19,19,Perfil 3,38,Não,P & D,Pos_Graduado,Biologia,Muito Alta,Masculino,Alto,Pesquisa_Cientifica,Muito Alta,Solteiro,3944,Alto,Alta,Colaboradores muito bem comprometidos com a empresa
20,20,Perfil 3,24,Não,P & D,Faculdade,Outros,Baixa,Feminino,Muito Alto,Diretor_Manufatura,Alta,Divorciado,4011,Muito Alto,Média,Colaboradores muito bem comprometidos com a empresa
21,21,Perfil 1,36,Sim,Vendas,Mestrado,Biologia,Alta,Masculino,Médio,Repres_Vendas,Baixa,Solteiro,3407,Médio,Alta,Colaboradores com baixa satisfação com o trabalho
22,22,Perfil 2,34,Não,P & D,Mestrado,Biologia,Baixa,Feminino,Alto,Diretor_Pesquisa,Média,Solteiro,11994,Alto,Alta,Colaboradores insatisfeitos com o ambiente e baixo relacionamento
23,23,Perfil 3,21,Não,P & D,Faculdade,Biologia,Alta,Masculino,Alto,Pesquisa_Cientifica,Muito Alta,Solteiro,1232,Muito Alto,Alta,Colaboradores muito bem comprometidos com a empresa
24,24,Perfil 1,34,Sim,P & D,Ensino_Mèdio,Médico,Média,Masculino,Alto,Pesquisa_Cientifica,Baixa,Solteiro,2960,Alto,Alta,Colaboradores com baixa satisfação com o trabalho
25,25,Perfil 3,53,Não,P & D,Pos_Graduado,Outros,Alta,Feminino,Alto,Gerente,Alta,Divorciado,19094,Muito Alto,Média,Colaboradores muito bem comprometidos com a empresa
26,26,Perfil 2,32,Sim,P & D,Ensino_Mèdio,Biologia,Média,Feminino,Baixo,Pesquisa_Cientifica,Baixa,Solteiro,3919,Médio,Alta,Colaboradores insatisfeitos com o ambiente e baixo relacionamento
27,27,Perfil 1,42,Não,Vendas,Mestrado,Marketing,Alta,Masculino,Alto,Executivo_Vendas,Média,Casado,6825,Muito Alto,Alta,Colaboradores com baixa satisfação com o trabalho
28,28,Perfil 3,44,Não,P & D,Mestrado,Médico,Baixa,Feminino,Médio,Repres_Saúde,Muito Alta,Casado,10248,Muito Alto,Alta,Colaboradores muito bem comprometidos com a empresa
29,29,Perfil 1,46,Não,Vendas,Mestrado,Marketing,Média,Feminino,Alto,Gerente,Baixa,Solteiro,18947,Muito Alto,Média,Colaboradores com baixa satisfação com o trabalho
30,30,Perfil 3,33,Não,P & D,Pos_Graduado,Médico,Alta,Masculino,Alto,Tecnico_Lab,Muito Alta,Solteiro,2496,Muito Alto,Alta,Colaboradores muito bem comprometidos com a empresa
31,31,Perfil 3,44,Não,P & D,Mestrado,Outros,Muito Alta,Masculino,Alto,Repres_Saúde,Muito Alta,Casado,6465,Muito Alto,Muito Alta,Colaboradores muito bem comprometidos com a empresa
32,32,Perfil 2,30,Não,P & D,Faculdade,Médico,Muito Alta,Masculino,Médio,Tecnico_Lab,Alta,Solteiro,2206,Baixo,Alta,Colaboradores insatisfeitos com o ambiente e baixo relacionamento
33,33,Perfil 3,39,Sim,Vendas,Pos_Graduado,Tech,Muito Alta,Masculino,Alto,Repres_Vendas,Muito Alta,Casado,2086,Alto,Muito Alta,Colaboradores muito bem comprometidos com a empresa
34,34,Perfil 2,24,Sim,P & D,Pos_Graduado,Médico,Média,Masculino,Alto,Pesquisa_Cientifica,Muito Alta,Casado,2293,Baixo,Média,Colaboradores insatisfeitos com o ambiente e baixo relacionamento
35,35,Perfil 3,43,Não,P & D,Faculdade,Médico,Muito Alta,Feminino,Muito Alto,Pesquisa_Cientifica,Alta,Divorciado,2645,Muito Alto,Média,Colaboradores muito bem comprometidos com a empresa
36,36,Perfil 2,50,Sim,Vendas,Faculdade,Marketing,Baixa,Masculino,Médio,Repres_Vendas,Alta,Casado,2683,Alto,Alta,Colaboradores insatisfeitos com o ambiente e baixo relacionamento
37,37,Perfil 3,35,Não,Vendas,Pos_Graduado,Marketing,Muito Alta,Feminino,Alto,Repres_Vendas,Muito Alta,Casado,2014,Baixo,Alta,Colaboradores muito bem comprometidos com a empresa
38,38,Perfil 1,36,Não,P & D,Mestrado,Biologia,Média,Feminino,Médio,Pesquisa_Cientifica,Baixa,Casado,3419,Muito Alto,Muito Alta,Colaboradores com baixa satisfação com o trabalho
39,39,Perfil 1,33,Não,Vendas,Pos_Graduado,Biologia,Alta,Feminino,Muito Alto,Executivo_Vendas,Baixa,Casado,5376,Baixo,Alta,Colaboradores com baixa satisfação com o trabalho
40,40,Perfil 3,35,Não,P & D,Faculdade,Outros,Alta,Masculino,Alto,Tecnico_Lab,Muito Alta,Divorciado,1951,Alto,Alta,Colaboradores muito bem comprometidos com a empresa
41,41,Perfil 1,27,Não,P & D,Mestrado,Biologia,Muito Alta,Feminino,Alto,Tecnico_Lab,Baixa,Divorciado,2341,Muito Alto,Alta,Colaboradores com baixa satisfação com o trabalho
42,42,Perfil 2,26,Sim,P & D,Pos_Graduado,Biologia,Baixa,Masculino,Baixo,Tecnico_Lab,Alta,Solteiro,2293,Alto,Média,Colaboradores insatisfeitos com o ambiente e baixo relacionamento
43,43,Perfil 3,27,Não,Vendas,Pos_Graduado,Biologia,Muito Alta,Masculino,Alto,Executivo_Vendas,Alta,Solteiro,8726,Muito Alto,Alta,Colaboradores muito bem comprometidos com a empresa
44,44,Perfil 3,30,Não,P & D,Faculdade,Médico,Alta,Feminino,Alto,Tecnico_Lab,Muito Alta,Solteiro,4011,Muito Alto,Alta,Colaboradores muito bem comprometidos com a empresa
45,45,Perfil 3,41,Sim,P & D,Pos_Graduado,Tech,Média,Feminino,Alto,Diretor_Pesquisa,Alta,Casado,19545,Muito Alto,Alta,Colaboradores muito bem comprometidos com a empresa
46,46,Perfil 3,34,Não,Vendas,Mestrado,Marketing,Média,Masculino,Alto,Executivo_Vendas,Alta,Solteiro,4568,Alto,Alta,Colaboradores muito bem comprometidos com a empresa
47,47,Perfil 2,37,Não,P & D,Faculdade,Biologia,Média,Masculino,Alto,Pesquisa_Cientifica,Média,Casado,3022,Baixo,Alta,Colaboradores insatisfeitos com o ambiente e baixo relacionamento
48,48,Perfil 3,46,Não,Vendas,Mestrado,Marketing,Baixa,Masculino,Alto,Executivo_Vendas,Muito Alta,Solteiro,5772,Alto,Alta,Colaboradores muito bem comprometidos com a empresa
49,49,Perfil 3,35,Não,P & D,Ensino_Mèdio,Biologia,Muito Alta,Masculino,Muito Alto,Tecnico_Lab,Muito Alta,Casado,2269,Muito Alto,Alta,Colaboradores muito bem comprometidos com a empresa
50,50,Perfil 2,48,Sim,P & D,Faculdade,Biologia,Baixa,Masculino,Médio,Tecnico_Lab,Alta,Solteiro,5381,Muito Alto,Alta,Colaboradores insatisfeitos com o ambiente e baixo relacionamento
51,51,Perfil 3,28,Sim,P & D,Mestrado,Tech,Alta,Masculino,Alto,Tecnico_Lab,Alta,Solteiro,3441,Alto,Média,Colaboradores muito bem comprometidos com a empresa
52,52,Perfil 1,44,Não,Vendas,Doutorado,Marketing,Média,Feminino,Alto,Executivo_Vendas,Baixa,Divorciado,5454,Alto,Média,Colaboradores com baixa satisfação com o trabalho
53,53,Perfil 1,35,Não,P & D,Faculdade,Médico,Alta,Masculino,Médio,Repres_Saúde,Baixa,Casado,9884,Alto,Alta,Colaboradores com baixa satisfação com o trabalho
54,54,Perfil 3,26,Não,Vendas,Pos_Graduado,Marketing,Alta,Feminino,Médio,Executivo_Vendas,Muito Alta,Casado,4157,Alto,Média,Colaboradores muito bem comprometidos com a empresa
55,55,Perfil 3,33,Não,P & D,Faculdade,Biologia,Baixa,Feminino,Alto,Diretor_Pesquisa,Muito Alta,Solteiro,13458,Alto,Alta,Colaboradores muito bem comprometidos com a empresa
56,56,Perfil 1,35,Não,Vendas,Doutorado,Biologia,Média,Masculino,Alto,Executivo_Vendas,Baixa,Casado,9069,Muito Alto,Média,Colaboradores com baixa satisfação com o trabalho
57,57,Perfil 1,35,Não,P & D,Mestrado,Médico,Alta,Feminino,Alto,Tecnico_Lab,Baixa,Casado,4014,Alto,Alta,Colaboradores com baixa satisfação com o trabalho
58,58,Perfil 3,31,Não,P & D,Mestrado,Biologia,Muito Alta,Masculino,Alto,Tecnico_Lab,Muito Alta,Divorciado,5915,Muito Alto,Média,Colaboradores muito bem comprometidos com a empresa
59,59,Perfil 2,37,Não,P & D,Mestrado,Biologia,Baixa,Masculino,Médio,Diretor_Manufatura,Alta,Divorciado,5993,Alto,Muito Alta,Colaboradores insatisfeitos com o ambiente e baixo relacionamento
60,60,Perfil 2,32,Não,P & D,Pos_Graduado,Médico,Baixa,Masculino,Alto,Diretor_Manufatura,Muito Alta,Casado,6162,Médio,Alta,Colaboradores insatisfeitos com o ambiente e baixo relacionamento
61,61,Perfil 3,38,Não,P & D,Doutorado,Biologia,Muito Alta,Feminino,Alto,Tecnico_Lab,Muito Alta,Solteiro,2406,Muito Alto,Alta,Colaboradores muito bem comprometidos com a empresa
62,62,Perfil 2,50,Não,P & D,Faculdade,Médico,Média,Feminino,Médio,Diretor_Pesquisa,Alta,Divorciado,18740,Muito Alto,Média,Colaboradores insatisfeitos com o ambiente e baixo relacionamento
63,63,Perfil 1,59,Não,Vendas,Pos_Graduado,Biologia,Baixa,Feminino,Alto,Executivo_Vendas,Baixa,Solteiro,7637,Muito Alto,Média,Colaboradores com baixa satisfação com o trabalho
64,64,Perfil 3,36,Não,P & D,Pos_Graduado,Tech,Alta,Feminino,Alto,Repres_Saúde,Alta,Divorciado,10096,Médio,Alta,Colaboradores muito bem comprometidos com a empresa
65,65,Perfil 3,55,Não,P & D,Pos_Graduado,Médico,Muito Alta,Feminino,Alto,Gerente,Alta,Divorciado,14756,Alto,Alta,Colaboradores muito bem comprometidos com a empresa
66,66,Perfil 2,36,Não,P & D,Pos_Graduado,Biologia,Média,Masculino,Médio,Diretor_Manufatura,Média,Solteiro,6499,Alto,Alta,Colaboradores insatisfeitos com o ambiente e baixo relacionamento
67,67,Perfil 1,45,Não,P & D,Pos_Graduado,Biologia,Média,Masculino,Alto,Pesquisa_Cientifica,Baixa,Divorciado,9724,Alto,Alta,Colaboradores com baixa satisfação com o trabalho
68,68,Perfil 1,35,Não,P & D,Pos_Graduado,Médico,Média,Masculino,Alto,Pesquisa_Cientifica,Baixa,Casado,2194,Muito Alto,Média,Colaboradores com baixa satisfação com o trabalho
69,69,Perfil 2,36,Sim,P & D,Pos_Graduado,Médico,Muito Alta,Masculino,Médio,Pesquisa_Cientifica,Alta,Casado,3388,Baixo,Média,Colaboradores insatisfeitos com o ambiente e baixo relacionamento
70,70,Perfil 2,59,Não,Vendas,Ensino_Mèdio,Biologia,Baixa,Feminino,Médio,Executivo_Vendas,Alta,Solteiro,5473,Muito Alto,Média,Colaboradores insatisfeitos com o ambiente e baixo relacionamento
71,71,Perfil 1,29,Não,P & D,Pos_Graduado,Biologia,Alta,Masculino,Alto,Pesquisa_Cientifica,Média,Casado,2703,Muito Alto,Alta,Colaboradores com baixa satisfação com o trabalho
72,72,Perfil 1,31,Não,P & D,Mestrado,Médico,Alta,Masculino,Alto,Pesquisa_Cientifica,Média,Solteiro,2501,Médio,Alta,Colaboradores com baixa satisfação com o trabalho
73,73,Perfil 2,32,Não,P & D,Pos_Graduado,Biologia,Média,Masculino,Alto,Pesquisa_Cientifica,Média,Casado,6220,Médio,Alta,Colaboradores insatisfeitos com o ambiente e baixo relacionamento
74,74,Perfil 3,36,Não,P & D,Pos_Graduado,Biologia,Média,Feminino,Muito Alto,Tecnico_Lab,Muito Alta,Casado,3038,Médio,Alta,Colaboradores muito bem comprometidos com a empresa
75,75,Perfil 3,31,Não,P & D,Mestrado,Biologia,Alta,Feminino,Alto,Diretor_Manufatura,Muito Alta,Solteiro,4424,Muito Alto,Alta,Colaboradores muito bem comprometidos com a empresa
76,76,Perfil 1,35,Não,Vendas,Mestrado,Marketing,Alta,Masculino,Médio,Executivo_Vendas,Baixa,Solteiro,4312,Médio,Alta,Colaboradores com baixa satisfação com o trabalho
77,77,Perfil 1,45,Não,P & D,Mestrado,Outros,Muito Alta,Masculino,Alto,Diretor_Pesquisa,Baixa,Casado,13245,Médio,Muito Alta,Colaboradores com baixa satisfação com o trabalho
78,78,Perfil 2,37,Não,P & D,Mestrado,Médico,Baixa,Masculino,Alto,Diretor_Pesquisa,Alta,Solteiro,13664,Baixo,Muito Alta,Colaboradores insatisfeitos com o ambiente e baixo relacionamento
79,79,Perfil 1,46,Não,RH,Faculdade,Médico,Média,Masculino,Alto,Human Resources,Média,Divorciado,5021,Muito Alto,Alta,Colaboradores com baixa satisfação com o trabalho
80,80,Perfil 3,30,Não,P & D,Ensino_Mèdio,Biologia,Muito Alta,Masculino,Médio,Tecnico_Lab,Muito Alta,Casado,5126,Alto,Média,Colaboradores muito bem comprometidos com a empresa
81,81,Perfil 2,35,Não,P & D,Pos_Graduado,Médico,Média,Masculino,Médio,Pesquisa_Cientifica,Alta,Solteiro,2859,Baixo,Alta,Colaboradores insatisfeitos com o ambiente e baixo relacionamento
82,82,Perfil 3,55,Não,Vendas,Faculdade,Biologia,Baixa,Masculino,Alto,Executivo_Vendas,Muito Alta,Casado,10239,Muito Alto,Alta,Colaboradores muito bem comprometidos com a empresa
83,83,Perfil 3,38,Não,P & D,Pos_Graduado,Médico,Média,Feminino,Baixo,Pesquisa_Cientifica,Muito Alta,Divorciado,5329,Muito Alto,Alta,Colaboradores muito bem comprometidos com a empresa
84,84,Perfil 2,34,Não,P & D,Faculdade,Médico,Baixa,Masculino,Alto,Diretor_Manufatura,Média,Casado,4325,Alto,Alta,Colaboradores insatisfeitos com o ambiente e baixo relacionamento
85,85,Perfil 2,56,Não,P & D,Pos_Graduado,Biologia,Muito Alta,Masculino,Baixo,Diretor_Manufatura,Muito Alta,Solteiro,7260,Baixo,Média,Colaboradores insatisfeitos com o ambiente e baixo relacionamento
86,86,Perfil 1,23,Não,Vendas,Ensino_Mèdio,Tech,Alta,Masculino,Alto,Repres_Vendas,Baixa,Divorciado,2322,Alto,Alta,Colaboradores com baixa satisfação com o trabalho
87,87,Perfil 3,51,Não,P & D,Mestrado,Biologia,Muito Alta,Masculino,Alto,Tecnico_Lab,Muito Alta,Casado,2075,Médio,Alta,Colaboradores muito bem comprometidos com a empresa
88,88,Perfil 2,30,Não,P & D,Pos_Graduado,Biologia,Alta,Masculino,Médio,Repres_Saúde,Muito Alta,Casado,4152,Baixo,Alta,Colaboradores insatisfeitos com o ambiente e baixo relacionamento
89,89,Perfil 3,46,Sim,Vendas,Faculdade,Médico,Alta,Masculino,Médio,Executivo_Vendas,Muito Alta,Solteiro,9619,Muito Alto,Alta,Colaboradores muito bem comprometidos com a empresa
90,90,Perfil 1,40,Não,P & D,Mestrado,Biologia,Alta,Masculino,Médio,Repres_Saúde,Média,Casado,13503,Muito Alto,Média,Colaboradores com baixa satisfação com o trabalho
91,91,Perfil 3,51,Não,Vendas,Mestrado,Marketing,Alta,Masculino,Alto,Executivo_Vendas,Muito Alta,Solteiro,5441,Muito Alto,Baixa,Colaboradores muito bem comprometidos com a empresa
92,92,Perfil 2,30,Não,Vendas,Faculdade,Médico,Alta,Feminino,Médio,Executivo_Vendas,Média,Divorciado,5209,Médio,Média,Colaboradores insatisfeitos com o ambiente e baixo relacionamento
93,93,Perfil 1,46,Não,P & D,Pos_Graduado,Médico,Alta,Masculino,Médio,Repres_Saúde,Baixa,Casado,10673,Alto,Média,Colaboradores com baixa satisfação com o trabalho
94,94,Perfil 2,32,Não,Vendas,Mestrado,Médico,Média,Masculino,Alto,Executivo_Vendas,Alta,Solteiro,5010,Baixo,Alta,Colaboradores insatisfeitos com o ambiente e baixo relacionamento
95,95,Perfil 2,54,Não,P & D,Mestrado,Tech,Baixa,Feminino,Alto,Diretor_Pesquisa,Alta,Casado,13549,Baixo,Baixa,Colaboradores insatisfeitos com o ambiente e baixo relacionamento
96,96,Perfil 2,24,Não,Vendas,Faculdade,Outros,Baixa,Feminino,Alto,Executivo_Vendas,Alta,Casado,4999,Baixo,Média,Colaboradores insatisfeitos com o ambiente e baixo relacionamento
97,97,Perfil 3,28,Não,Vendas,Pos_Graduado,Médico,Média,Masculino,Alto,Executivo_Vendas,Alta,Casado,4221,Médio,Muito Alta,Colaboradores muito bem comprometidos com a empresa
98,98,Perfil 3,58,Não,Vendas,Mestrado,Médico,Muito Alta,Masculino,Alto,Executivo_Vendas,Alta,Solteiro,13872,Alto,Média,Colaboradores muito bem comprometidos com a empresa
99,99,Perfil 1,44,Não,P & D,Pos_Graduado,Médico,Média,Masculino,Alto,Tecnico_Lab,Média,Casado,2042,Alto,Muito Alta,Colaboradores com baixa satisfação com o trabalho
100,100,Perfil 1,37,Sim,RH,Mestrado,Recursos_Humanos,Alta,Masculino,Alto,Human Resources,Baixa,Divorciado,2073,Muito Alto,Alta,Colaboradores com baixa satisfação com o trabalho
101,101,Perfil 1,32,Não,P & D,Ensino_Mèdio,Biologia,Muito Alta,Masculino,Alto,Pesquisa_Cientifica,Baixa,Solteiro,2956,Muito Alto,Alta,Colaboradores com baixa satisfação com o trabalho
102,102,Perfil 3,20,Sim,P & D,Pos_Graduado,Biologia,Muito Alta,Feminino,Médio,Tecnico_Lab,Muito Alta,Solteiro,2926,Médio,Alta,Colaboradores muito bem comprometidos com a empresa
103,103,Perfil 2,34,Não,P & D,Mestrado,Outros,Baixa,Feminino,Alto,Pesquisa_Cientifica,Alta,Solteiro,4809,Alto,Alta,Colaboradores insatisfeitos com o ambiente e baixo relacionamento
104,104,Perfil 3,37,Não,P & D,Faculdade,Biologia,Alta,Masculino,Médio,Repres_Saúde,Muito Alta,Divorciado,5163,Muito Alto,Muito Alta,Colaboradores muito bem comprometidos com a empresa
105,105,Perfil 3,59,Não,RH,Mestrado,Recursos_Humanos,Alta,Feminino,Médio,Gerente,Muito Alta,Casado,18844,Muito Alto,Alta,Colaboradores muito bem comprometidos com a empresa
106,106,Perfil 2,50,Não,P & D,Pos_Graduado,Biologia,Baixa,Feminino,Alto,Diretor_Pesquisa,Média,Casado,18172,Baixo,Média,Colaboradores insatisfeitos com o ambiente e baixo relacionamento
107,107,Perfil 3,25,Sim,Vendas,Pos_Graduado,Marketing,Alta,Masculino,Médio,Executivo_Vendas,Alta,Solteiro,5744,Muito Alto,Alta,Colaboradores muito bem comprometidos com a empresa
108,108,Perfil 3,25,Não,P & D,Ensino_Mèdio,Médico,Muito Alta,Masculino,Médio,Pesquisa_Cientifica,Muito Alta,Casado,2889,Alto,Alta,Colaboradores muito bem comprometidos com a empresa
109,109,Perfil 3,22,Não,P & D,Pos_Graduado,Médico,Média,Feminino,Alto,Tecnico_Lab,Muito Alta,Solteiro,2871,Alto,Alta,Colaboradores muito bem comprometidos com a empresa
110,110,Perfil 2,51,Não,P & D,Mestrado,Médico,Baixa,Feminino,Médio,Repres_Saúde,Baixa,Solteiro,7484,Alto,Média,Colaboradores insatisfeitos com o ambiente e baixo relacionamento
111,111,Perfil 2,34,Sim,P & D,Pos_Graduado,Biologia,Baixa,Masculino,Baixo,Tecnico_Lab,Alta,Solteiro,6074,Muito Alto,Alta,Colaboradores insatisfeitos com o ambiente e baixo relacionamento
112,112,Perfil 3,54,Não,RH,Pos_Graduado,Recursos_Humanos,Muito Alta,Feminino,Muito Alto,Gerente,Muito Alta,Solteiro,17328,Alto,Alta,Colaboradores muito bem comprometidos com a empresa
113,113,Perfil 3,24,Não,P & D,Ensino_Mèdio,Biologia,Média,Masculino,Alto,Tecnico_Lab,Alta,Casado,2774,Alto,Alta,Colaboradores muito bem comprometidos com a empresa
114,114,Perfil 1,34,Não,P & D,Mestrado,Biologia,Alta,Feminino,Médio,Pesquisa_Cientifica,Média,Divorciado,4505,Alto,Alta,Colaboradores com baixa satisfação com o trabalho
115,115,Perfil 3,37,Não,Vendas,Pos_Graduado,Biologia,Alta,Masculino,Alto,Executivo_Vendas,Muito Alta,Solteiro,7428,Baixo,Alta,Colaboradores muito bem comprometidos com a empresa
116,116,Perfil 1,34,Não,P & D,Pos_Graduado,Médico,Alta,Feminino,Médio,Gerente,Baixa,Solteiro,11631,Muito Alto,Alta,Colaboradores com baixa satisfação com o trabalho
117,117,Perfil 3,36,Não,Vendas,Faculdade,Tech,Média,Feminino,Alto,Executivo_Vendas,Muito Alta,Casado,9738,Alto,Alta,Colaboradores muito bem comprometidos com a empresa
118,118,Perfil 2,36,Não,P & D,Faculdade,Biologia,Baixa,Feminino,Alto,Tecnico_Lab,Muito Alta,Divorciado,2835,Baixo,Alta,Colaboradores insatisfeitos com o ambiente e baixo relacionamento
119,119,Perfil 3,43,Não,Vendas,Faculdade,Biologia,Alta,Masculino,Alto,Gerente,Muito Alta,Casado,16959,Muito Alto,Muito Alta,Colaboradores muito bem comprometidos com a empresa
120,120,Perfil 2,30,Não,P & D,Pos_Graduado,Biologia,Baixa,Masculino,Baixo,Pesquisa_Cientifica,Alta,Divorciado,2613,Alto,Média,Colaboradores insatisfeitos com o ambiente e baixo relacionamento
121,121,Perfil 1,33,Não,Vendas,Faculdade,Marketing,Alta,Masculino,Alto,Executivo_Vendas,Média,Casado,6146,Baixo,Muito Alta,Colaboradores com baixa satisfação com o trabalho
122,122,Perfil 2,56,Sim,P & D,Mestrado,Biologia,Média,Feminino,Alto,Pesquisa_Cientifica,Média,Casado,4963,Baixo,Alta,Colaboradores insatisfeitos com o ambiente e baixo relacionamento
123,123,Perfil 2,51,Não,P & D,Pos_Graduado,Biologia,Baixa,Masculino,Alto,Diretor_Pesquisa,Alta,Solteiro,19537,Alto,Alta,Colaboradores insatisfeitos com o ambiente e baixo relacionamento
124,124,Perfil 2,31,Sim,Vendas,Mestrado,Biologia,Média,Masculino,Baixo,Executivo_Vendas,Alta,Casado,6172,Médio,Média,Colaboradores insatisfeitos com o ambiente e baixo relacionamento
125,125,Perfil 2,26,Não,P & D,Pos_Graduado,Outros,Alta,Feminino,Médio,Pesquisa_Cientifica,Média,Casado,2368,Alto,Média,Colaboradores insatisfeitos com o ambiente e baixo relacionamento
126,126,Perfil 3,58,Sim,P & D,Mestrado,Médico,Muito Alta,Feminino,Alto,Repres_Saúde,Muito Alta,Casado,10312,Muito Alto,Média,Colaboradores muito bem comprometidos com a empresa
127,127,Perfil 3,19,Sim,Vendas,Ensino_Mèdio,Marketing,Muito Alta,Masculino,Alto,Repres_Vendas,Alta,Solteiro,1675,Muito Alto,Média,Colaboradores muito bem comprometidos com a empresa
128,128,Perfil 3,22,Não,P & D,Ensino_Mèdio,Tech,Alta,Masculino,Alto,Tecnico_Lab,Muito Alta,Casado,2523,Alto,Alta,Colaboradores muito bem comprometidos com a empresa
129,129,Perfil 1,49,Não,P & D,Mestrado,Médico,Alta,Feminino,Alto,Diretor_Manufatura,Baixa,Casado,6567,Alto,Média,Colaboradores com baixa satisfação com o trabalho
130,130,Perfil 3,43,Não,P & D,Pos_Graduado,Médico,Média,Feminino,Muito Alto,Pesquisa_Cientifica,Alta,Solteiro,4739,Muito Alto,Alta,Colaboradores muito bem comprometidos com a empresa
131,131,Perfil 3,50,Não,Vendas,Pos_Graduado,Marketing,Alta,Feminino,Alto,Executivo_Vendas,Muito Alta,Solteiro,9208,Muito Alto,Alta,Colaboradores muito bem comprometidos com a empresa
132,132,Perfil 2,31,Sim,Vendas,Pos_Graduado,Biologia,Média,Feminino,Baixo,Executivo_Vendas,Alta,Casado,4559,Alto,Alta,Colaboradores insatisfeitos com o ambiente e baixo relacionamento
